Yr,Lg,Series,Date,,TeamW,GamesW,,TeamL,GamesL
2009,NBA,Western Conf First Round,Apr 19 - Apr 29 2009,,Denver Nuggets (2),4,,New Orleans Hornets (7),1
2009,NBA,Western Conf First Round,Apr 18 - Apr 28 2009,,Dallas Mavericks (6),4,,San Antonio Spurs (3),1
2009,NBA,Western Conf First Round,Apr 18 - Apr 30 2009,,Houston Rockets (5),4,,Portland Trail Blazers (4),2
2009,NBA,Western Conf Semifinals,May 4 - May 17 2009,,Los Angeles Lakers (1),4,,Houston Rockets (5),3
2009,NBA,Western Conf Semifinals,May 3 - May 13 2009,,Denver Nuggets (2),4,,Dallas Mavericks (6),1
2009,NBA,Eastern Conf Semifinals,May 5 - May 11 2009,,Cleveland Cavaliers (1),4,,Atlanta Hawks (4),0
2009,NBA,Eastern Conf Semifinals,May 4 - May 17 2009,,Orlando Magic (3),4,,Boston Celtics (2),3
2009,NBA,Eastern Conf Finals,May 20 - May 30 2009,,Orlando Magic (3),4,,Cleveland Cavaliers (1),2
2009,NBA,Western Conf Finals,May 19 - May 29 2009,,Los Angeles Lakers (1),4,,Denver Nuggets (2),2
2009,NBA,Finals,Jun 4 - Jun 14 2009,,Los Angeles Lakers (1),4,,Orlando Magic (3),1
2008,NBA,Eastern Conf First Round,Apr 20 - May 4 2008,,Boston Celtics (1),4,,Atlanta Hawks (8),3
2008,NBA,Eastern Conf First Round,Apr 20 - May 1 2008,,Detroit Pistons (2),4,,Philadelphia 76ers (7),2
2008,NBA,Eastern Conf First Round,Apr 20 - Apr 28 2008,,Orlando Magic (3),4,,Toronto Raptors (6),1
2008,NBA,Eastern Conf First Round,Apr 19 - May 2 2008,,Cleveland Cavaliers (4),4,,Washington Wizards (5),2
2008,NBA,Western Conf First Round,Apr 20 - Apr 28 2008,,Los Angeles Lakers (1),4,,Denver Nuggets (8),0
2008,NBA,Western Conf First Round,Apr 19 - Apr 29 2008,,New Orleans Hornets (2),4,,Dallas Mavericks (7),1
2008,NBA,Western Conf First Round,Apr 19 - Apr 29 2008,,San Antonio Spurs (3),4,,Phoenix Suns (6),1
2008,NBA,Western Conf First Round,Apr 19 - May 2 2008,,Utah Jazz (4),4,,Houston Rockets (5),2
2008,NBA,Eastern Conf Semifinals,May 6 - May 18 2008,,Boston Celtics (1),4,,Cleveland Cavaliers (4),3
2008,NBA,Eastern Conf Semifinals,May 3 - May 13 2008,,Detroit Pistons (2),4,,Orlando Magic (3),1
2008,NBA,Western Conf Semifinals,May 4 - May 16 2008,,Los Angeles Lakers (1),4,,Utah Jazz (4),2
2008,NBA,Western Conf Semifinals,May 3 - May 19 2008,,San Antonio Spurs (3),4,,New Orleans Hornets (2),3
